race_id,pos,driver,team,time,pts,driver_total_gps
2025_saudi_arabian_gp,9,A. Albon,Williams,+66.515s,2,120
2025_saudi_arabian_gp,10,I. Hadjar,Red Bull,+67.091s,1,15
2025_saudi_arabian_gp,11,F. Alonso,Aston Martin,+75.917s,0,409
2025_saudi_arabian_gp,12,L. Lawson,Red Bull,+78.451s,0,26
2025_saudi_arabian_gp,13,O. Bearman,Haas,+79.194s,0,18
2025_saudi_arabian_gp,14,E. Ocon,Haas,+99.723s,0,158
2025_saudi_arabian_gp,15,N. Hülkenberg,Kick Sauber,+1 Lap,0,243
2025_saudi_arabian_gp,16,L. Stroll,Aston Martin,+1 Lap,0,181
2025_saudi_arabian_gp,17,J. Doohan,Alpine,+1 Lap,0,0
2025_saudi_arabian_gp,18,G. Bortoleto,Kick Sauber,+1 Lap,0,16
2025_saudi_arabian_gp,19,Y. Tsunoda,Red Bull,DNF,0,103
2025_saudi_arabian_gp,20,P. Gasly,Alpine,DNF,0,169
2025_miami_gp,1,O. Piastri,McLaren,1:28:51.587,25,62
2025_miami_gp,2,L. Norris,McLaren,+4.630s,18,144
2025_miami_gp,3,G. Russell,Mercedes,+37.644s,15,144
2025_miami_gp,4,M. Verstappen,Red Bull,+39.956s,12,224
2025_miami_gp,5,A. Albon,Williams,+48.067s,10,120
2025_miami_gp,6,A.K. Antonelli,Mercedes,+55.502s,8,13
2025_miami_gp,7,C. Leclerc,Ferrari,+57.036s,6,162
2025_miami_gp,8,L. Hamilton,Ferrari,+60.186s,4,371
2025_miami_gp,9,C. Sainz Jr.,Williams,+60.577s,2,221
2025_miami_gp,10,Y. Tsunoda,Red Bull,+74.434s,1,103
2025_miami_gp,11,I. Hadjar,Red Bull,+74.602s,0,15
2025_miami_gp,12,E. Ocon,Haas,+82.006s,0,158
2025_miami_gp,13,P. Gasly,Alpine,+90.445s,0,169
2025_miami_gp,14,N. Hülkenberg,Kick Sauber,+1 Lap,0,243
